mid_date, v [m/yr], satellite, dt (days)
2017-01-19T20:33:29.555Z,321, Landsat 7, 176 
2019-06-05T20:50:29.000Z,861, Sentinel 2, 70 
2005-04-04T08:23:39.866Z,709, Landsat 7, 89 
1990-08-22T19:44:37.522Z,378, Landsat 5, 112 
2019-09-25T20:43:41.000Z,322, Sentinel 2, 90 
2020-12-08T20:46:14.000Z,968, Sentinel 2, 100 
2017-07-13T08:50:50.000Z,579, Sentinel 2, 135 
2022-03-03T20:44:16.000Z,695, Sentinel 2, 90 
2020-04-10T20:51:49.000Z,713, Sentinel 2, 70 
2019-02-08T08:56:25.000Z,382, Sentinel 2, 15 
2018-11-24T20:45:23.999Z,271, Sentinel 2, 110 
2004-10-02T08:22:44.456Z,323, Landsat 7, 41 
2019-06-25T08:40:25.000Z,628, Sentinel 2, 115 
2018-03-10T08:54:05.000Z,279, Sentinel 2, 95 
2022-05-15T08:40:25.000Z,990, Sentinel 2, 65 
2006-03-25T20:27:11.348Z,415, Landsat 7, 64 
2021-02-14T08:45:35.000Z,2186, Sentinel 2, 35 
2018-03-14T20:43:51.000Z,338, Sentinel 2, 90 
2020-04-18T08:50:20.000Z,693, Sentinel 2, 15 
2020-01-11T08:42:39.999Z,425, Sentinel 2, 165 
2018-02-25T08:44:05.000Z,232, Sentinel 2, 65 
2018-07-23T08:52:00.000Z,439, Sentinel 2, 155 
2018-02-12T20:45:34.000Z,242, Sentinel 2, 40 
2005-03-30T20:26:45.404Z,666, Landsat 7, 80 
2022-02-03T15:48:54.550Z,820, Sentinel 1, 12 
2010-09-14T20:14:58.525Z,144, Landsat 5, 16 
1999-12-20T20:23:45.252Z,458, Landsat 7, 48 
2003-08-29T08:22:22.922Z,283, Landsat 7, 73 
2004-06-16T20:19:56.053Z,635, Landsat 7, 96 
2013-05-28T08:29:44.725Z,996, Landsat 7, 89 
2021-06-08T15:48:52.258Z,2247, Sentinel 1, 12 
2019-03-02T20:53:56.000Z,260, Sentinel 2, 10 
2003-03-18T20:19:38.779Z,449, Landsat 7, 16 
2021-12-04T08:55:25.000Z,411, Sentinel 2, 115 
2009-07-20T08:24:20.946Z,554, Landsat 7, 89 
2001-05-27T08:23:46.141Z,1049, Landsat 7, 71 
1994-08-13T07:45:14.229Z,523, Landsat 5, 25 
2022-05-08T08:50:20.000Z,999, Sentinel 2, 55 
2018-02-15T08:45:25.000Z,255, Sentinel 2, 35 
2022-03-19T08:52:45.000Z,734, Sentinel 2, 55 
2019-11-16T15:48:45.840Z,377, Sentinel 1, 24 
2010-12-27T20:14:40.707Z,831, Landsat 5, 128 
2013-01-08T20:26:54.864Z,561, Landsat 7, 144 
2018-02-05T08:43:45.000Z,294, Sentinel 2, 165 
2018-07-05T20:50:14.000Z,515, Sentinel 2, 120 
2022-04-13T08:52:45.000Z,870, Sentinel 2, 105 
2019-03-29T20:42:24.000Z,505, Sentinel 2, 60 
2019-03-05T08:53:35.000Z,426, Sentinel 2, 45 
2007-07-19T20:21:03.349Z,791, Landsat 7, 80 
2021-06-16T02:55:18.978Z,2111, Sentinel 1, 12 
2011-03-28T08:23:52.446Z,701, Landsat 5, 39 
2019-05-26T08:40:25.000Z,705, Sentinel 2, 115 
2022-04-15T20:51:53.999Z,887, Sentinel 2, 80 
2022-06-14T20:50:31.000Z,948, Sentinel 2, 30 
2018-09-23T20:52:01.000Z,138, Sentinel 2, 30 
2006-01-21T20:20:35.148Z,307, Landsat 7, 176 
1993-05-29T07:56:25.265Z,1023, Landsat 5, 89 
2006-05-29T20:23:16.358Z,538, Landsat 5, 32 
2019-05-01T08:40:25.000Z,698, Sentinel 2, 35 
2020-12-16T15:48:51.070Z,899, Sentinel 1, 24 
2018-04-21T20:50:19.000Z,492, Sentinel 2, 10 
2018-11-22T20:53:09.000Z,259, Sentinel 2, 160 
2018-09-12T20:22:44.574Z,338, Landsat 7, 16 
2022-03-16T20:52:21.000Z,773, Sentinel 2, 30 
2018-09-03T20:52:01.000Z,225, Sentinel 2, 70 
2022-03-26T08:41:45.000Z,788, Sentinel 2, 35 
